Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
0,0,0,0,20,600.3966667,0.023333333,0.04,0,0,Aug,3,2,2,13,Returning_Visitor,TRUE
8,177.6666667,1,23,56,2581.355128,0.003278689,0.011373326,0,0,Nov,3,2,3,2,Returning_Visitor,TRUE
1,13,0,0,10,391.85,0.018055556,0.046984127,0,0,Mar,3,2,4,3,Returning_Visitor,TRUE
0,0,0,0,20,873.7365079,0.0075,0.028166667,0,0,Feb,1,2,1,1,Returning_Visitor,FALSE
0,0,0,0,14,242.0833333,0.014285714,0.023809524,0,0,Nov,1,1,1,2,Returning_Visitor,FALSE
1,57,3,144,15,280.0833333,0.010526316,0.021052632,0,0,May,3,2,6,4,Returning_Visitor,TRUE
0,0,0,0,16,107.9291667,0,0.008531746,0,0,Dec,2,2,7,2,Returning_Visitor,FALSE
0,0,3,101,7,208.5,0,0.025,0,0,May,2,2,1,5,New_Visitor,FALSE
0,0,0,0,13,436,0.030769231,0.079487179,0,0.6,May,1,1,4,2,Returning_Visitor,FALSE
3,94.6,0,0,1,4,0,0.05,0,0,Jul,2,2,1,2,New_Visitor,FALSE
0,0,0,0,5,38,0.12,0.16,0,0.6,May,2,5,1,3,Returning_Visitor,FALSE
2,25,0,0,36,1445.6,0.005714286,0.036190476,0,1,May,3,3,3,2,Returning_Visitor,TRUE
5,96.6,0,0,68,2664.416667,0,0.005633803,5.150260109,0,Sep,4,2,1,5,New_Visitor,TRUE
0,0,0,0,4,137,0,0.075,0,0,May,4,1,3,3,Returning_Visitor,TRUE
0,0,0,0,1,48.5,0,0.1,0,0,Nov,1,1,1,3,Other,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,June,2,2,1,3,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Nov,1,1,3,3,Returning_Visitor,FALSE
2,38,0,0,77,1230.312302,0,0.003492063,79,0.6,May,2,4,4,2,Returning_Visitor,FALSE
0,0,0,0,2,18,0.1,0.15,0,0,Mar,2,5,3,10,Returning_Visitor,FALSE
0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,1,2,New_Visitor,FALSE
0,0,0,0,19,753.3,0,0.002222222,0,0,Aug,2,4,1,4,Returning_Visitor,FALSE
3,38,0,0,12,279.0833333,0,0.038461538,0,0,Nov,1,1,8,2,Returning_Visitor,FALSE
0,0,0,0,34,933.85,0.021875,0.031505682,0,0,Nov,1,1,1,2,Returning_Visitor,TRUE
3,47.4,0,0,21,961.52,0.030434783,0.053623188,0,0,Aug,3,2,4,4,Returning_Visitor,FALSE
4,282.1,0,0,7,107.6,0,0.011111111,0,0,Aug,1,1,2,5,New_Visitor,FALSE
0,0,0,0,27,857.1833333,0,0.017283951,0,0,Nov,2,2,9,10,Returning_Visitor,FALSE
1,18,1,6,122,7141.214642,0.012926829,0.01962467,0,0,Nov,3,2,1,2,Returning_Visitor,TRUE
0,0,2,86,5,86,0,0.057142857,0,0,Nov,1,1,1,3,Returning_Visitor,FALSE
0,0,0,0,18,1456.916667,0.005882353,0.030392157,0,0,Dec,3,3,3,2,Returning_Visitor,FALSE
1,31.5,0,0,3,32.83333333,0,0.05,0,0,Dec,2,2,9,2,New_Visitor,TRUE
7,164.5833333,1,28.5,115,3427.665476,0,0.016290123,4.970219813,0,Nov,2,2,4,10,Returning_Visitor,FALSE
3,83,0,0,5,47,0,0.028571429,0,0,May,2,2,4,1,Returning_Visitor,FALSE
11,190.3125,2,43.5,22,1259.872817,0.013333333,0.025185185,0,0,Nov,2,2,3,2,Returning_Visitor,FALSE
0,0,0,0,3,159.5,0,0.066666667,0,0,Nov,2,4,1,3,Returning_Visitor,FALSE
0,0,0,0,2,0,0.2,0.2,0,0.6,May,1,1,1,3,Returning_Visitor,FALSE
